Date,Close_TSM,High_TSM,Low_TSM,Open_TSM,Volume_TSM,SharesOutstanding
2001-08-30,4.246818542480469,4.307875127335874,4.158625750598484,4.223074182763808,6468500,5186523104
2001-08-31,4.402852535247803,4.406244382900713,4.243427124276742,4.243427124276742,5541716,5186523104
2001-09-04,4.324836730957031,4.582631020128388,4.290916342032433,4.42659742154826,6661923,5186523104
2001-09-05,4.250210762023926,4.409636170835962,4.172194457603848,4.3926759804361755,5945933,5186523104
2001-09-06,4.307875633239746,4.314659804838707,4.121314009454379,4.1552343912667125,4673518,5186523104
2001-09-07,4.389284133911133,4.4232045147190675,4.277346972481437,4.277346972481437,4095897,5186523104
2001-09-10,4.29770040512085,4.402853417624318,4.2569958442160205,4.389285071928523,2759303,5186523104
2001-09-17,3.5785908699035645,3.900833921601098,3.4734385457546635,3.7312326537848204,7450190,5186523104
2001-09-18,3.3411478996276855,3.5107490970985635,3.307227517278768,3.459868761666424,6579343,5186523104
2001-09-19,3.242779493331909,3.3852452336657426,3.0833542714270648,3.3581090155503945,8791348,5186523104
2001-09-20,3.0630011558532715,3.141017696132198,3.0290807760243004,3.035864947226582,5653442,5186523104
2001-09-21,3.2054672241210938,3.219035571148057,2.845912456371665,2.883224696421914,8776039,5186523104
2001-09-24,3.4836137294769287,3.4836137294769287,3.3411484798183526,3.3411484798183526,8594392,5186523104
2001-09-25,3.1478018760681152,3.4055960968281367,3.0528251456111883,3.392027754385927,9280501,5186523104
2001-09-26,3.171546697616577,3.2461716507203753,3.1342344591559685,3.188506892586414,3457482,5186523104
2001-09-27,3.01212215423584,3.0867471239462008,2.954457859452216,3.0697869252021497,6145097,5186523104
2001-09-28,3.2190349102020264,3.2190349102020264,3.0596097224646694,3.120666319184403,5647554,5186523104
2001-10-01,3.1104896068573,3.1206656246821716,3.0562167181539883,3.1206656246821716,2467106,5186523104
2001-10-02,3.0019454956054688,3.0155138422053938,2.961241408170865,3.0019454956054688,3178387,5186523104
2001-10-03,3.256347417831421,3.3207958679676217,2.8662641544846967,2.900184541771921,8595717,5186523104
2001-10-04,3.1410183906555176,3.3106198511192018,3.127450045250802,3.2224270345361807,10657723,5186523104
2001-10-05,3.1511945724487305,3.2461715665815536,3.0630019894558007,3.2393873935329442,7778304,5186523104
2001-10-08,3.2699155807495117,3.3716762607501307,3.110490388433204,3.151194231869187,6647939,5186523104
2001-10-09,3.2359938621520996,3.412379412587449,3.2359938621520996,3.3920269040263795,6148924,5186523104
2001-10-10,3.392028331756592,3.402204828411651,3.191898818037459,3.208859010885863,6646026,5186523104
