Price,Close,High,Low,Open,Volume,SharesOutstanding,TrailingPE,ForwardPE,EarningsPerShare
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,,,
Date,,,,,,,,,
2020-06-04,78.24053192138672,79.04157682827717,77.86670750782196,78.74300918140095,87560400,14840390000,39.018208,30.942238,6.59
2020-06-05,80.4688949584961,80.52958039964126,78.46142323225453,78.49055105874169,137250400,14840390000,39.018208,30.942238,6.59
2020-06-08,80.94467163085938,80.97865903574063,79.45424095843477,80.16547259371143,95654400,14840390000,39.018208,30.942238,6.59
2020-06-09,83.50071716308594,83.89395754195188,80.59267626323646,80.62423387031144,147712400,14840390000,39.018208,30.942238,6.59
2020-06-10,85.64901733398438,86.11750723835495,84.01051015507953,84.44987222819896,166651600,14840390000,39.018208,30.942238,6.59
2020-06-11,81.5369644165039,85.21693078033901,81.43501701482725,84.79213265493966,201662400,14840390000,39.018208,30.942238,6.59
2020-06-12,82.24091339111328,84.42558944538845,81.12915928074322,83.67794801073093,200146000,14840390000,39.018208,30.942238,6.59
2020-06-15,83.25801086425781,83.91098692440009,80.73106773858638,80.89370801041294,138808800,14840390000,39.018208,30.942238,6.59
2020-06-16,85.46452331542969,85.73640033379766,83.6779473563593,85.31402459590804,165428800,14840390000,39.018208,30.942238,6.59
2020-06-17,85.3455810546875,86.27042663858354,85.22421016537945,86.20974119392952,114406400,14840390000,39.018208,30.942238,6.59
2020-06-18,85.37957763671875,85.79709383713187,84.77029333637671,85.30189848131818,96820400,14840390000,39.018208,30.942238,6.59
2020-06-19,84.89163970947266,86.5519922849717,83.78230820460287,86.08593230301926,264476000,14840390000,39.018208,30.942238,6.59
2020-06-22,87.11272430419922,87.25594103734062,85.23875783411975,85.28487935589797,135445200,14840390000,39.018208,30.942238,6.59
2020-06-23,88.9721450805664,90.3921859871706,87.93806271848383,88.35800866828109,212155600,14840390000,39.018208,30.942238,6.59
2020-06-24,87.40160369873047,89.520742080351,87.02777928766403,88.60074867063001,192623200,14840390000,39.018208,30.942238,6.59
2020-06-25,88.5619125366211,88.60075211142514,86.79718241483171,87.55696539217314,137522400,14840390000,39.018208,30.942238,6.59
2020-06-26,85.84078216552734,88.67843434218518,85.6927058184488,88.45753841975109,205256800,14840390000,39.018208,30.942238,6.59
2020-06-29,87.81913757324219,87.91381044123456,85.27034839852176,85.74855009238026,130646000,14840390000,39.018208,30.942238,6.59
2020-06-30,88.55220794677734,88.83864890811773,87.3870502400666,87.4064663250919,140223200,14840390000,39.018208,30.942238,6.59
2020-07-01,88.38471221923828,89.17362306010735,88.33616830453525,88.62988380492604,110737200,14840390000,39.018208,30.942238,6.59
2020-07-02,88.38471221923828,89.92855390147346,88.27063068613485,89.29257157809708,114041600,14840390000,39.018208,30.942238,6.59
2020-07-06,90.74900817871094,91.21749799617754,89.78289331003914,89.81445092400466,118655600,14840390000,39.018208,30.942238,6.59
